,SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
166,0,0,0,0.05555555555555555,0,0,0,0,0,1,0,0.5238805970149254,0.029333025617355183
167,0,1,0,1.0,2,2,2,2,2,1,0,0.7044776119402985,0.7195534271867067
168,1,1,0,0.8055555555555555,0,2,2,0,0,1,2,0.2691542288557213,0.30376182783291017
169,0,1,1,0.2222222222222222,1,1,1,1,0,0,2,0.021393034825870627,0.03491807062081699
170,0,1,0,0.5972222222222222,2,0,2,2,1,1,0,0.6567164179104478,0.4062370182321717
171,0,1,0,0.027777777777777776,0,0,2,2,0,1,2,0.8572139303482588,0.025848142164781908
172,0,1,0,0.19444444444444442,0,2,2,2,2,0,3,0.6338308457711442,0.13419686129702285
173,0,1,0,0.736111111111111,0,0,2,0,1,1,0,0.7621890547263681,0.574821140087699
174,0,0,0,0.4444444444444444,1,1,1,1,1,0,0,0.02288557213930348,0.07336141241633971
175,0,1,0,0.4722222222222222,1,1,1,1,0,0,2,0.06417910447761191,0.08786060466189707
176,1,0,0,0.20833333333333331,0,0,0,0,0,1,3,0.5592039800995025,0.13003692591737828
177,1,0,0,0.09722222222222221,2,0,0,0,0,0,0,0.5791044776119403,0.05594276482806371
178,0,1,1,0.20833333333333331,0,2,2,0,0,1,0,0.8666666666666666,0.1777579044541888
179,0,1,0,0.8472222222222222,1,1,1,1,1,1,1,0.02288557213930348,0.14230325409646896
180,0,0,0,0.013888888888888888,0,2,0,0,0,0,0,0.11641791044776117,0.0012866374336487421
181,0,0,0,0.013888888888888888,0,0,0,0,0,0,3,0.2691542288557213,0.0030579275328871443
182,0,0,0,0.1111111111111111,0,0,0,0,0,0,0,0.6592039800995024,0.07429609969997693
183,0,1,1,0.4583333333333333,2,0,2,0,1,0,1,0.5621890547263682,0.2809254558042926
184,0,0,0,0.18055555555555555,0,2,2,0,0,1,2,0.6069651741293532,0.1261077775213478
185,0,1,0,0.013888888888888888,0,0,0,0,0,1,2,0.06517412935323383,0.0006923609508423722
186,0,0,0,0.2777777777777778,0,2,0,0,0,1,3,0.3338308457711442,0.11597622894068775
187,0,0,0,0.041666666666666664,0,0,0,2,0,0,2,0.12089552238805967,0.007310177705977384
188,0,0,0,0.18055555555555555,1,1,1,1,1,0,2,0.013930348258706454,0.026078929148396032
189,0,1,0,0.5555555555555556,0,2,0,0,0,0,1,0.381592039800995,0.2723632587122086
190,0,1,1,0.5972222222222222,2,0,0,2,1,1,1,0.5338308457711444,0.36401453957996766
191,0,1,0,0.08333333333333333,0,2,2,0,0,1,2,0.7238805970149254,0.0591045465035772
192,0,1,1,0.9583333333333333,1,1,1,1,2,0,0,0.014925373134328346,0.15654281098546044
193,0,1,1,1.0,2,2,2,0,2,0,1,0.9099502487562189,0.9358989153011771
194,0,1,1,0.8194444444444444,1,1,1,1,2,0,1,0.010447761194029848,0.13546042003231018
195,0,1,0,0.2777777777777778,2,2,0,2,0,1,2,0.7791044776119402,0.21726863604892685
196,0,1,1,0.3333333333333333,1,1,1,1,2,1,0,0.05820895522388059,0.0656127394414955
197,0,0,0,0.8194444444444444,0,2,2,2,0,1,2,0.92636815920398,0.7501673205631203
198,0,1,1,1.0,0,2,2,2,2,1,0,0.9353233830845772,0.925784675744288
199,0,0,1,0.013888888888888888,1,1,1,1,0,0,3,0.02487562189054726,0.00022501730902377065
200,0,1,0,0.375,2,0,0,2,1,1,1,0.8323383084577115,0.3072178629125317
201,0,0,0,0.19444444444444442,0,2,0,2,0,1,1,0.6149253731343283,0.1261827832910224
202,0,1,1,0.986111111111111,2,0,2,0,2,0,2,0.8686567164179103,0.8523771059312255
203,0,0,1,0.18055555555555555,0,0,0,0,0,1,1,0.5975124378109452,0.11714170320793908
204,0,0,0,0.611111111111111,0,0,0,0,0,0,1,0.5034825870646765,0.33927417493653356
205,0,0,0,0.4583333333333333,0,2,0,2,1,1,0,0.6139303482587065,0.30764481883221784
206,0,1,1,1.0,2,2,2,2,2,1,1,0.37014925373134333,0.48008308331410104
207,0,0,0,0.013888888888888888,0,0,0,0,0,0,2,0.6134328358208956,0.007050542349411494
208,0,0,0,0.2638888888888889,2,0,2,2,0,1,2,0.8791044776119402,0.2210535425801985
209,0,1,0,0.8888888888888888,0,2,2,2,1,1,1,0.8378109452736319,0.765670436187399
210,0,0,0,0.027777777777777776,0,0,0,0,0,1,1,0.2761194029850746,0.007581352411723978
211,0,0,0,0.013888888888888888,0,0,0,0,0,0,2,0.06965174129353235,0.00074428802215555
212,0,0,1,0.8472222222222222,1,1,1,1,2,0,3,0.014925373134328346,0.12755596584352644
213,0,1,1,0.40277777777777773,1,1,1,1,1,0,2,0.01741293532338306,0.06014885760443111
214,1,1,0,0.3194444444444444,0,0,0,0,0,0,2,0.682089552238806,0.22583083314101085
215,0,1,0,0.7916666666666666,2,2,2,0,0,1,0,0.4029850746268656,0.39448996076621273
216,0,1,1,1.0,2,2,2,2,2,0,1,0.26865671641791045,0.3601430879298408
217,0,1,0,0.9166666666666666,2,2,2,2,2,1,0,0.381592039800995,0.43507962150934687
218,0,1,1,0.9027777777777777,0,2,2,2,2,1,0,0.6562189054726368,0.6122432494807293
219,0,0,0,0.1111111111111111,0,0,0,0,0,1,0,0.6144278606965173,0.06990537733671821
220,0,0,0,0.05555555555555555,0,0,0,0,0,1,2,0.5164179104477612,0.028796445880452347
221,0,1,0,0.986111111111111,1,1,1,1,2,0,0,0.06467661691542287,0.2097969074544196
222,0,1,1,0.013888888888888888,1,1,1,1,1,1,2,0.019402985074626844,0.0001615508885298867
223,0,1,0,0.05555555555555555,0,0,0,2,0,0,3,0.31641791044776113,0.018526425109623816
224,0,0,0,0.16666666666666666,1,1,1,1,1,1,0,0.010945273631840807,0.0231421647819063
225,0,0,0,0.3333333333333333,2,0,0,0,1,1,3,0.3218905472636816,0.1465439649203785
226,0,1,1,0.4305555555555555,2,0,2,2,1,1,3,0.6258706467661692,0.29159358412185554
227,0,1,0,0.013888888888888888,0,0,0,0,0,0,3,0.36766169154228856,0.0042003231017770605
228,0,0,0,0.41666666666666663,0,0,0,2,0,1,1,0.7129353233830846,0.31206438956842836
229,0,1,1,0.6527777777777778,2,2,0,2,2,1,1,0.6671641791044776,0.47178052157858297
230,0,0,0,0.75,2,2,0,2,2,1,1,0.8930348258706468,0.6625721209323794
231,0,0,0,0.6944444444444444,2,2,0,2,0,1,1,0.7487562189054726,0.5456612047080545
232,0,0,0,0.013888888888888888,2,0,0,0,0,1,3,0.6601990049751243,0.007592891760904685
233,0,0,0,1.0,1,1,1,1,2,0,1,0.019900497512437804,0.17864066466651282
234,0,0,0,0.40277777777777773,1,1,1,1,0,0,2,0.06865671641791044,0.07883683360258482
235,0,0,0,0.027777777777777776,0,2,0,0,0,1,3,0.3597014925373134,0.010996999769213017
236,0,0,0,0.1388888888888889,0,0,0,2,2,1,3,0.1129353233830846,0.032339026078929155
237,0,1,0,0.25,0,0,0,0,0,1,2,0.546268656716418,0.14852873297945998
238,1,0,0,0.15277777777777776,0,2,0,0,0,1,2,0.763681592039801,0.1271059312254789
239,0,0,0,0.2222222222222222,1,1,1,1,2,0,3,0.014925373134328346,0.030642741749365338
240,0,0,0,1.0,0,2,2,2,2,0,0,0.6800995024875621,0.730636972074775
241,0,0,0,1.0,0,2,2,2,2,0,0,0.9049751243781096,0.9069351488576045
242,0,1,1,0.5694444444444444,2,0,0,2,1,1,1,0.5616915422885572,0.36566466651280866
243,1,1,0,0.9027777777777777,2,2,2,0,0,0,2,0.7577114427860697,0.7047484421878606
244,1,0,0,0.18055555555555555,0,2,2,0,0,1,2,0.363681592039801,0.08221786291253173
245,1,0,0,0.05555555555555555,2,0,0,0,0,0,2,0.5681592039800994,0.029379183014078002
246,0,0,0,0.5694444444444444,0,0,2,0,1,0,3,0.46517412935323377,0.28998384491114704
247,1,0,0,0.20833333333333331,0,2,0,0,0,1,2,0.5587064676616916,0.12179783060235402
248,0,0,0,0.013888888888888888,2,0,0,0,0,1,3,0.3014925373134328,0.0034329563812600964
249,0,0,0,0.5833333333333333,2,2,2,0,1,1,2,0.8034825870646766,0.4938437572120932
250,0,1,0,0.7083333333333333,2,2,2,0,1,1,2,0.7487562189054726,0.5308966074313409
251,0,1,1,0.027777777777777776,0,0,0,0,0,0,2,0.518905472636816,0.01481075467343642
252,1,1,0,0.013888888888888888,0,2,0,0,0,0,2,0.218407960199005,0.0024694207246711286
253,0,0,1,0.4444444444444444,0,2,2,2,1,0,1,0.6512437810945274,0.3016962843295638
254,0,0,0,0.1388888888888889,1,1,1,1,0,1,3,0.015920398009950265,0.02010731594738057
255,0,1,1,0.9305555555555555,0,2,2,2,2,1,2,0.41094527363184075,0.47139395338102924
256,0,1,1,0.8472222222222222,2,2,2,2,2,0,1,0.9636815920398009,0.8065255019616894
257,0,0,0,0.6944444444444444,2,2,2,2,1,0,1,0.9562189054726368,0.6660858527579046
258,0,1,0,0.027777777777777776,0,0,0,0,0,1,1,0.26218905472636816,0.007125548119086083
259,1,1,0,0.40277777777777773,2,0,2,0,0,1,2,0.26616915422885573,0.1396088160627741
260,1,0,0,0.041666666666666664,0,0,2,0,0,1,2,0.22786069651741292,0.013085621970920839
261,1,0,0,0.18055555555555555,0,2,2,0,0,1,2,0.882089552238806,0.15526194322640202
262,1,1,0,0.7916666666666666,0,2,0,0,0,1,2,0.7124378109452736,0.5661839372259405
263,0,0,0,0.4305555555555555,2,2,0,2,2,1,0,0.3144278606965174,0.1732402492499423
264,0,1,0,0.625,2,2,2,2,1,0,3,0.9457711442786069,0.5785195015001154
265,0,1,1,0.8472222222222222,2,2,2,2,2,0,3,0.6950248756218904,0.6355815831987076
266,0,0,0,0.6944444444444444,1,1,1,1,2,0,0,0.06616915422885569,0.1357546734364182
267,1,0,0,0.2638888888888889,2,2,0,2,0,1,3,0.86318407960199,0.22945418878375262
268,0,0,0,0.8194444444444444,1,1,1,1,2,0,3,0.010945273631840807,0.1247172859450727
269,0,1,0,0.986111111111111,1,1,1,1,2,1,1,0.05970149253731341,0.1978017539810755
270,1,0,0,0.2222222222222222,0,0,0,2,0,1,2,0.7582089552238807,0.17221324717285946
271,0,1,0,0.7916666666666666,2,2,0,2,2,1,2,0.4129353233830846,0.3959554581121625
272,0,0,0,0.013888888888888888,0,0,0,0,0,0,0,0.06517412935323383,0.0006923609508423722
273,1,1,0,0.2777777777777778,0,2,0,2,0,0,2,0.8835820895522387,0.24847103623355646
274,0,0,0,0.013888888888888888,0,0,0,0,0,0,3,0.5208955223880596,0.005977382875605816
275,0,1,0,0.06944444444444445,0,2,0,2,0,1,2,0.6681592039800995,0.04411493191783984
276,0,1,0,0.7222222222222222,0,2,2,0,0,1,2,0.863681592039801,0.6469016847449804
277,1,1,0,0.29166666666666663,2,2,0,0,0,1,0,0.46467661691542295,0.15243480267712903
278,0,0,0,0.19444444444444442,0,0,2,2,0,1,2,0.3656716417910447,0.08690860835448881
279,0,0,0,0.06944444444444445,0,2,0,0,0,0,0,0.32139303482587056,0.026073159473805677
280,0,0,0,0.08333333333333333,2,2,0,0,0,0,3,0.36716417910447763,0.03509116085852758
281,0,0,0,0.1388888888888889,0,2,0,0,0,0,2,0.3278606965174129,0.05532540964689592
282,0,0,1,0.013888888888888888,1,1,1,1,0,0,3,0.07114427860696515,0.0007615970459266094
283,0,0,0,0.9444444444444444,2,0,0,0,0,0,3,0.36019900497512436,0.4233729517655204
284,0,1,1,0.25,0,0,2,0,0,0,3,0.7651741293532338,0.2032252480960074
285,0,0,0,0.3055555555555555,0,0,0,0,1,1,1,0.5746268656716418,0.20364643434110316
